ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,75çŒà»è„êlå˚,75çŒà»è„êlå˚ÅiíjÅj,75çŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêîÅiäÓñ{ï[Åj
R13121,ìåãûìs,ë´óßãÊ,695043,347408,347635,644285,322261,322024,75589,38692,36897,424335,219784,204551,170261,74792,95469,92601,36575,56026,29791,4387,7197,52,431,373,980,517,1433,156
R13122,ìåãûìs,äãè¸ãÊ,453093,225758,227335,432623,216134,216489,51556,26487,25069,285968,148207,137761,111893,49424,62469,59706,23284,36422,19229,3132,4651,21,360,274,933,337,1052,121
R13123,ìåãûìs,ç]åÀêÏãÊ,697932,351327,346605,650161,327003,323158,86270,44123,42147,449387,232990,216397,145764,64620,81144,76738,30631,46107,31840,4984,5994,21,431,362,897,544,1260,132
R13201,ìåãûìs,î™â§éqés,579355,291307,288048,554415,278465,275950,62867,32420,30447,344893,179495,165398,153504,68640,84864,79254,33113,46141,11790,2905,5396,31,379,288,1172,403,1608,102
R13202,ìåãûìs,óßêÏés,183581,91191,92390,179304,89196,90108,21828,11219,10609,115971,60115,55856,45524,19759,25765,24008,9454,14554,4221,1205,1808,8,173,123,662,225,568,36
R13203,ìåãûìs,ïêë†ñÏés,150149,71868,78281,143186,68271,74915,17232,8872,8360,95301,46473,48828,31725,13327,18398,16870,6368,10502,2911,1110,1177,8,214,151,545,217,553,34
R13204,ìåãûìs,éOëÈés,195391,94489,100902,185052,89733,95319,23468,12098,11370,123039,61414,61625,41623,17721,23902,22563,8630,13933,3411,1359,1569,7,142,101,1076,145,495,46
R13205,ìåãûìs,ê¬î~és,133535,66654,66881,131357,65672,65685,13763,7073,6690,76704,40231,36473,42492,18985,23507,21938,8920,13018,1858,620,1712,8,88,64,331,86,283,32
R13206,ìåãûìs,ï{íÜés,262790,131468,131322,251627,126350,125277,32986,16961,16025,165586,86141,79445,56764,25099,31665,29560,11806,17754,4893,1784,2171,12,185,153,985,233,1005,56
R13207,ìåãûìs,è∫ìáés,113949,56639,57310,110425,54890,55535,13780,6979,6801,68947,35538,33409,30003,13373,16630,15075,6088,8987,2669,780,1176,8,62,61,205,106,269,23
